Nationality,Refusal_Rate,ISO3,name_short,iso_num
MONTENEGRO,0.33409999999999995,MNE,Montenegro,499
MOROCCO,0.2691,MAR,Morocco,504
MOZAMBIQUE,0.2475,MOZ,Mozambique,508
NAMIBIA,0.1654,NAM,Namibia,516
NAURU,0.2414,NRU,Nauru,520
NEPAL,0.6947,NPL,Nepal,524
NETHERLANDS,0.17420000000000002,NLD,Netherlands,528
NEW ZEALAND,0.2194,NZL,New Zealand,554
NICARAGUA,0.5315,NIC,Nicaragua,558
NIGER,0.3823,NER,Niger,562
NIGERIA,0.57,NGA,Nigeria,566
NORTH MACEDONIA,0.2555,MKD,North Macedonia,807
NORWAY,0.1618,NOR,Norway,578
OMAN,0.031400000000000004,OMN,Oman,512
PAKISTAN,0.5232,PAK,Pakistan,586
PALAU,0.8,PLW,Palau,585
PALESTINIAN AUTHORITY TRAVEL DOCUMENT,0.6026,PSE,Palestine,275
PANAMA,0.06509999999999999,PAN,Panama,591
PAPUA NEW GUINEA,0.1057,PNG,Papua New Guinea,598
PARAGUAY,0.18710000000000002,PRY,Paraguay,600
PERU,0.209,PER,Peru,604
PHILIPPINES,0.30760000000000004,PHL,Philippines,608
POLAND,0.11630000000000001,POL,Poland,616
PORTUGAL,0.0819,PRT,Portugal,620
QATAR,0.0969,QAT,Qatar,634
ROMANIA,0.08410000000000001,ROU,Romania,642
RUSSIA,0.40380000000000005,RUS,Russia,643
RWANDA,0.6470999999999999,RWA,Rwanda,646
SAMOA,0.44329999999999997,WSM,Samoa,882
SAN MARINO,0.2,SMR,San Marino,674
SAO TOME AND PRINCIPE,0.25,STP,Sao Tome and Principe,678
SAUDI ARABIA,0.059800000000000006,SAU,Saudi Arabia,682
SENEGAL,0.7395999999999999,SEN,Senegal,686
SERBIA,0.152,SRB,Serbia,688
SEYCHELLES,0.1322,SYC,Seychelles,690
SIERRA LEONE,0.7055,SLE,Sierra Leone,694
SINGAPORE,0.1864,SGP,Singapore,702
SLOVAKIA,0.1433,SVK,Slovakia,703
SLOVENIA,0.1457,SVN,Slovenia,705
SOLOMON ISLANDS,0.0784,SLB,Solomon Islands,090
SOMALIA,0.8351999999999999,SOM,Somalia,706
SOUTH AFRICA,0.1166,ZAF,South Africa,710
SOUTH SUDAN,0.7609,SSD,South Sudan,728
SPAIN,0.23670000000000002,ESP,Spain,724
SRI LANKA,0.3335,LKA,Sri Lanka,144
ST. LUCIA,0.3703,LCA,St. Lucia,662
ST. KITTS AND NEVIS,0.35090000000000005,KNA,St. Kitts and Nevis,659
ST. VINCENT AND THE GRENADINES,0.3734,VCT,St. Vincent and the Grenadines,670
SUDAN,0.6325999999999999,SDN,Sudan,729
SURINAME,0.14279999999999998,SUR,Suriname,740
SWEDEN,0.2177,SWE,Sweden,752
SWITZERLAND,0.0582,CHE,Switzerland,756
SYRIA,0.5069,SYR,Syria,760
TAIWAN,0.09449999999999999,TWN,Taiwan,158
TAJIKISTAN,0.4783,TJK,Tajikistan,762
TANZANIA,0.39409999999999995,TZA,Tanzania,834
THAILAND,0.25670000000000004,THA,Thailand,764
TIMOR-LESTE,0.2045,TLS,Timor-Leste,626
TOGO,0.7202,TGO,Togo,768
TONGA,0.4721,TON,Tonga,776
TRINIDAD AND TOBAGO,0.1492,TTO,Trinidad and Tobago,780
TUNISIA,0.2589,TUN,Tunisia,788
TURKEY,0.2225,TUR,Türkiye,792
TURKMENISTAN,0.6474,TKM,Turkmenistan,795
TUVALU,0.0455,TUV,Tuvalu,798
UGANDA,0.5758,UGA,Uganda,800
UKRAINE,0.3392,UKR,Ukraine,804
UNITED ARAB EMIRATES,0.0217,ARE,United Arab Emirates,784
URUGUAY,0.0259,URY,Uruguay,858
UZBEKISTAN,0.5246,UZB,Uzbekistan,860
VANUATU,0.46880000000000005,VUT,Vanuatu,548
VATICAN CITY,0.0,VAT,Vatican,336
VENEZUELA,0.48219999999999996,VEN,Venezuela,862
VIETNAM,0.2208,VNM,Vietnam,704
YEMEN,0.6798000000000001,YEM,Yemen,887
ZAMBIA,0.5245000000000001,ZMB,Zambia,894
ZIMBABWE,0.376,ZWE,Zimbabwe,716
